FIPSCode,jurisdiction,households,median_household_income
13113,"Fayette County, Georgia",39753,87272
13115,"Floyd County, Georgia",35633,46367
13117,"Forsyth County, Georgia",73675,101743
13119,"Franklin County, Georgia",8305,40198
13121,"Fulton County, Georgia",400016,64787
13123,"Gilmer County, Georgia",11645,49389
13125,"Glascock County, Georgia",1105,41686
13127,"Glynn County, Georgia",33777,50672
13129,"Gordon County, Georgia",20294,44313
13131,"Grady County, Georgia",9037,42348
13133,"Greene County, Georgia",7004,49755
13135,"Gwinnett County, Georgia",288724,67769
13137,"Habersham County, Georgia",15195,49140
13139,"Hall County, Georgia",63931,59898
13141,"Hancock County, Georgia",2991,31984
13143,"Haralson County, Georgia",11128,46353
13145,"Harris County, Georgia",12158,74261
13147,"Hart County, Georgia",10019,41358
13149,"Heard County, Georgia",4489,48094
13151,"Henry County, Georgia",73826,68609
13153,"Houston County, Georgia",56146,58770
13155,"Irwin County, Georgia",3291,32339
13157,"Jackson County, Georgia",22034,62495
13159,"Jasper County, Georgia",5087,43284
13161,"Jeff Davis County, Georgia",5270,36531
13163,"Jefferson County, Georgia",5609,34300
13165,"Jenkins County, Georgia",3409,27311
13167,"Johnson County, Georgia",3361,39813
13169,"Jones County, Georgia",10510,53155
13171,"Lamar County, Georgia",6368,41464
13173,"Lanier County, Georgia",3724,39104
13175,"Laurens County, Georgia",17183,37369
13177,"Lee County, Georgia",10354,65420
13179,"Liberty County, Georgia",23232,45959
13181,"Lincoln County, Georgia",3424,41014
13183,"Long County, Georgia",5601,55439
13185,"Lowndes County, Georgia",40472,41390
13187,"Lumpkin County, Georgia",11649,47488
13189,"McDuffie County, Georgia",8103,39199
13191,"McIntosh County, Georgia",6033,47114
13193,"Macon County, Georgia",4673,31999
13195,"Madison County, Georgia",10712,51701
13197,"Marion County, Georgia",3331,44309
13199,"Meriwether County, Georgia",8151,36351
13201,"Miller County, Georgia",2300,42927
13205,"Mitchell County, Georgia",7889,37027
13207,"Monroe County, Georgia",9803,54050
13209,"Montgomery County, Georgia",3039,40728
13211,"Morgan County, Georgia",6656,62530
13213,"Murray County, Georgia",14081,45238
13215,"Muscogee County, Georgia",72924,45389
13217,"Newton County, Georgia",36626,53309
13219,"Oconee County, Georgia",13093,88308
13221,"Oglethorpe County, Georgia",5621,44927
13223,"Paulding County, Georgia",52389,66467
13225,"Peach County, Georgia",10103,42802
13227,"Pickens County, Georgia",11841,64512
13229,"Pierce County, Georgia",7072,44167
13231,"Pike County, Georgia",6106,58765
13233,"Polk County, Georgia",15011,43491
13235,"Pulaski County, Georgia",3817,38770
13237,"Putnam County, Georgia",8660,51245
13239,"Quitman County, Georgia",934,30000
13241,"Rabun County, Georgia",6563,40902
13243,"Randolph County, Georgia",2616,30914
13245,"Richmond County, Georgia",72165,40644
13247,"Rockdale County, Georgia",30521,57049
13249,"Schley County, Georgia",1877,41276
13251,"Screven County, Georgia",5257,37588
13253,"Seminole County, Georgia",3325,34338
13255,"Spalding County, Georgia",24137,42671
13257,"Stephens County, Georgia",9468,43416
13259,"Stewart County, Georgia",1826,25385
13261,"Sumter County, Georgia",11758,36205
13263,"Talbot County, Georgia",2766,36213
13265,"Taliaferro County, Georgia",612,31797
13267,"Tattnall County, Georgia",8237,38034
13269,"Taylor County, Georgia",3437,33442
13271,"Telfair County, Georgia",4931,30288
13273,"Terrell County, Georgia",3247,38015
13275,"Thomas County, Georgia",17352,40112
13277,"Tift County, Georgia",15058,42790
13279,"Toombs County, Georgia",10403,36575
13281,"Towns County, Georgia",4777,43927
13283,"Treutlen County, Georgia",2641,37606
13285,"Troup County, Georgia",24843,43850
13287,"Turner County, Georgia",3023,38341
13289,"Twiggs County, Georgia",3031,33037
13291,"Union County, Georgia",9070,44978
13293,"Upson County, Georgia",10204,36529
13295,"Walker County, Georgia",25709,43650
13297,"Walton County, Georgia",31133,58370
13299,"Ware County, Georgia",13901,39887
13301,"Warren County, Georgia",2332,34730
13303,"Washington County, Georgia",7359,38092
13305,"Wayne County, Georgia",10353,44869
13307,"Webster County, Georgia",1101,35755
13309,"Wheeler County, Georgia",1937,27626
13311,"White County, Georgia",11588,46288
13313,"Whitfield County, Georgia",36043,46970
13315,"Wilcox County, Georgia",2606,36077
13317,"Wilkes County, Georgia",3879,35106
13319,"Wilkinson County, Georgia",3237,37583
13321,"Worth County, Georgia",8038,46076
15001,"Hawaii County, Hawaii",68412,59297
15003,"Honolulu County, Hawaii",311525,82906
