pr2,pr3,State,FIPSCode,population
0.735370707021078,0.01062337141711766,WA,53027,54208
0.8223564375419423,0.0054091862905106085,WA,53029,63032
0.8578086672117743,0.004956629491945477,WA,53031,25579
0.7834746115165034,0.010963164000594534,WA,53033,1436281
0.7967590010534796,0.010126542897809027,WA,53035,198029
0.8035964596099163,0.01629703463742836,WA,53037,33818
0.7970891018814341,0.004898904426828182,WA,53039,15716
0.7724334724053697,0.005681182133661704,WA,53041,56902
0.8396935735565328,0.004899476262882244,WA,53043,7990
0.7652801469623409,0.004698055622235177,WA,53045,47007
0.7885295157299399,0.0070043707273338566,WA,53047,28864
0.7913302167445814,0.009398496240601503,WA,53049,16472
0.7924633791792464,0.006914068011852688,WA,53051,10220
0.7309578533141428,0.012733389777639142,WA,53053,599794
0.8674792936396312,0.00234192037470726,WA,53055,13311
0.7818059085133418,0.008126364975366956,WA,53057,86200
0.7848168938786421,0.006471389645776567,WA,53059,8613
0.7770856638467455,0.004790971380693848,WA,53061,534199
0.7715309749603222,0.007369848225328646,WA,53063,364862
0.7821050529259037,0.003958120531154239,WA,53065,33545
0.7656565305128383,0.006104257075561008,WA,53067,199826
0.8232510983440351,0.003284072249589491,WA,53069,3352
0.7927774795729707,0.009065262365995863,WA,53071,42760
0.8110509440684004,0.006948897927629556,WA,53073,157658
0.8020930750389669,0.013935928043973127,WA,53075,37146
0.7138416981598559,0.008225718668052051,WA,53077,142097
0.8944723618090452,0.011235955056179775,WV,54001,13411
0.9188829787234043,0.008683068017366137,WV,54003,81953
0.952,0.058823529411764705,WV,54005,18369
0.9866666666666667,0.013513513513513514,WV,54007,11535
0.8908296943231441,0.029411764705882353,WV,54009,19120
0.8997395833333334,0,WV,54011,76666
0.9239130434782609,0,WV,54013,5981
0.90625,0,WV,54015,6952
0.9090909090909091,0,WV,54017,6735
0.9219858156028369,0.39615384615384613,WV,54019,35625
1,0,WV,54021,7093
0.9736842105263158,0,WV,54023,9461
0.9178470254957507,0,WV,54025,28350
0.9037037037037037,0.04918032786885246,WV,54027,18582
