zipcode,city,zip_median_income
28337,"Elizabethtown, North Carolina",27308
28007,"Ansonville, North Carolina",27212
27917,"Barco, North Carolina",27198
27563,"Norlina, North Carolina",27131
28472,"Whiteville, North Carolina",27105
27827,"Falkland, North Carolina",27083
28119,"Morven, North Carolina",27061
28643,"Lansing, North Carolina",26993
28526,"Dover, North Carolina",26944
27810,"Belhaven, North Carolina",26918
28393,"Turkey, North Carolina",26860
28544,"Midway Park, North Carolina",26792
28771,"Robbinsville, North Carolina",26739
28320,"Bladenboro, North Carolina",26738
27806,"Aurora, North Carolina",26680
27893,"Wilson, North Carolina",26655
28009,"Badin, North Carolina",26635
27967,"Powellsville, North Carolina",26618
28444,"Harrells, North Carolina",26615
28478,"Willard, North Carolina",26607
28377,"Red Springs, North Carolina",26606
28453,"Magnolia, North Carolina",26558
28511,"Atlantic, North Carolina",26550
27857,"Oak City, North Carolina",26500
27845,"Jackson, North Carolina",26354
28447,"Ivanhoe, North Carolina",26277
27401,"Greensboro, North Carolina",26271
27910,"Ahoskie, North Carolina",26234
28515,"Bayboro, North Carolina",26232
28442,"Hallsboro, North Carolina",26083
28325,"Calypso, North Carolina",26023
28340,"Fairmont, North Carolina",26015
27875,"Scranton, North Carolina",25938
27983,"Windsor, North Carolina",25911
27862,"Pendleton, North Carolina",25833
27829,"Fountain, North Carolina",25795
27589,"Warrenton, North Carolina",25767
27962,"Plymouth, North Carolina",25746
28435,"Currie, North Carolina",25727
27871,"Robersonville, North Carolina",25706
28206,"Charlotte, North Carolina",25663
28364,"Maxton, North Carolina",25550
28783,"Tuckasegee, North Carolina",25521
27843,"Hobgood, North Carolina",25329
28338,"Ellerbe, North Carolina",25205
28781,"Topton, North Carolina",25132
27805,"Aulander, North Carolina",25102
27925,"Columbia, North Carolina",25094
28160,"Spindale, North Carolina",25052
27832,"Gaston, North Carolina",25022
28169,"Waco, North Carolina",25000
27985,"Winfall, North Carolina",25000
28384,"Saint Pauls, North Carolina",24979
27260,"High Point, North Carolina",24940
27847,"Kelford, North Carolina",24821
27890,"Weldon, North Carolina",24755
28615,"Creston, North Carolina",24755
27876,"Seaboard, North Carolina",24688
27924,"Colerain, North Carolina",24508
28543,"Tarawa Terrace, North Carolina",24476
28537,"Hobucken, North Carolina",24444
28431,"Chadbourn, North Carolina",24332
27849,"Lewiston Woodville, North Carolina",24310
27839,"Halifax, North Carolina",24306
27101,"Winston Salem, North Carolina",24207
28463,"Tabor City, North Carolina",24044
28743,"Hot Springs, North Carolina",24000
28448,"Kelly, North Carolina",23886
